,Votes,UnemploymentRate2015,MedHHInc,PerCapitaInc,PovertyAllAgesPct,DeepPovAll,TotalAreaSqM,PopulationDensitySqM,TotalMaleRate,TotalFemaleRate,VoterTurnoutRate,Democrat,Population,County,State,DominantEducation,DominantReligion,Young,Adult,Old,DominantEthnicMale,DominantEthnicFemale,EstimatePopulation2015Normal,PopulationNormal,MedHHIncNormal,PerCapitaIncNormal,TotalAreaSqMNormal,PopulationDensitySqMNormal,Age
1803,11383,0.049,42620.0,21886.0,0.192,0.0921283991,1407.95,34.4,0.519564268,0.480435732,0.00225862137,0,48376,009,35,college,Catholic,0.303881105,0.5851819509999999,0.11093694400000023,White,White,-0.16086374167554465,-0.15916186704246213,-0.3740236458203655,-0.3817200974264036,0.05213545564396962,-0.1320323364331564,Adult
1804,905,0.05,33789.0,25942.0,0.20600000000000002,0.01443298969,2333.88,0.9,0.497811816,0.502188184,0.00495076586,0,2022,011,35,only high school,Catholic,0.245076587,0.5098468270000001,0.24507658600000012,White,White,-0.3075095554816476,-0.3073460837477327,-1.1040380835998502,0.3296032084268757,0.29412972653312197,-0.15145157162838885,Adult
1805,69875,0.07400000000000001,38974.0,20058.0,0.27899999999999997,0.1079677036,3814.38,55.0,0.492834644,0.507165356,0.00326069204,1,209233,013,35,college,Catholic,0.291710026,0.5628642760000001,0.14542569800000016,White,White,0.3339851145192021,0.35506492129424455,-0.6754201626524344,-0.7023066366521912,0.6810623435251085,-0.1200909559847448,Adult
1806,19602,0.049,57007.0,27630.0,0.141,0.05426514032999999,4197.52,12.9,0.506651846,0.493348154,0.0034044253,0,53829,015,35,only high school,Catholic,0.28991975999999997,0.5707561910000001,0.13932404900000006,White,White,-0.13918540230704932,-0.14172974611020517,0.8152774204613064,0.6256371680620669,0.7811970026769558,-0.1444954276778578,Adult
1807,12713,0.066,38221.0,23411.0,0.191,0.09548526439999999,3967.55,7.4,0.49302667,0.50697333,0.004443706529999999,1,29514,017,35,college,Catholic,0.233318187,0.514907896,0.25177391700000007,White,White,-0.22665055734408854,-0.21945980671314455,-0.7376668925412299,-0.11427235545740683,0.721093730856863,-0.14768366032185118,Adult
1808,1814,0.071,29147.0,15192.0,0.258,0.06152294502999999,3031.6,1.5,0.56851979,0.43148021,0.00415008007,1,4687,019,35,only high school,Catholic,0.22191718,0.590025165,0.18805765500000016,White,White,-0.2998315586830287,-0.2988266261492612,-1.4877689204441902,-1.5556841529939214,0.47648070628837275,-0.1511037644308623,Adult
1809,527,0.086,40380.0,18565.0,0.14800000000000002,0.035114503820000004,2125.89,0.3,0.53008596,0.46991404,0.00755014327,0,695,021,35,only high school,Catholic,0.203438395,0.5186246409999999,0.277936964,White,White,-0.3109213275549623,-0.31158823017669013,-0.5591932008680437,-0.9641423604290517,0.23977098623716564,-0.15179937882591538,Adult
1810,1863,0.063,34304.0,19400.0,0.245,0.09528954192,3445.99,1.4,0.504182681,0.495817319,0.00421207325,0,4894,023,35,college,Catholic,0.25751752299999997,0.5469138590000001,0.19556861799999978,White,White,-0.29967455678230975,-0.298164889667879,-1.0614656189348706,-0.8177037607279944,0.5847826361467376,-0.1511617322971167,Adult
1811,17449,0.062,58994.0,22962.0,0.166,0.08274293846000001,4394.2,14.7,0.5153554370000001,0.484644563,0.0024513908399999996,0,64727,025,35,only high school,Christian Generic,0.34138803000000006,0.564821581,0.09379038900000003,White,White,-0.09811732819976884,-0.10689107860245958,0.9795327355861887,-0.19301598571581965,0.832599844358809,-0.14345200608527817,Adult
1812,8892,0.057999999999999996,39995.0,24732.0,0.201,0.07486871718,4831.31,4.2,0.49691040200000003,0.503089598,0.00457878476,0,20497,027,35,college,Catholic,0.19855818800000002,0.526467558,0.2749742539999998,White,White,-0.25439460476151243,-0.24828530358572135,-0.5910192181418633,0.11739877053672088,0.9468397067116407,-0.1495386320419928,Adult
